score,score_num,movie_name,ranking
9.0,122300,93,狩猎
8.7,298869,94,布达佩斯大饭店
8.6,333884,95,加勒比海盗
8.9,157992,96,末代皇帝
8.6,310566,97,断背山
8.7,213974,98,爱在黎明破晓前
8.6,516482,99,阿凡达
9.2,84989,100,摩登时代
8.7,214604,101,猫鼠游戏
8.7,243406,102,哈利·波特与魔法石
8.8,171556,103,风之谷
8.7,193344,104,爱在日落黄昏时
8.8,162988,105,侧耳倾听
8.7,198739,106,萤火虫之墓
8.9,136464,107,穿条纹睡衣的男孩
8.7,276459,108,驯龙高手
8.8,166887,109,超脱
8.7,339875,110,消失的爱人
8.6,219632,111,幸福终点站
9.0,97358,112,海洋
8.7,175066,113,菊次郎的夏天
8.6,239830,114,倩女幽魂
8.7,208310,115,恐怖直播
9.2,74558,116,七武士
8.5,361877,117,神偷奶爸
8.6,299416,118,岁月神偷
8.7,193273,119,电锯惊魂
8.7,175393,120,谍影重重3
8.7,209652,121,借东西的小人阿莉埃蒂
8.8,145811,122,燃情岁月
8.8,125418,123,红辣椒
8.5,300049,124,真爱至上
8.6,204394,125,雨人
8.5,386434,126,贫民窟的百万富翁
8.6,201412,127,杀人回忆
8.6,241577,128,东邪西毒
8.5,270079,129,记忆碎片
8.9,104205,130,虎口脱险
8.7,359176,131,疯狂原始人
8.6,230329,132,怪兽电力公司
8.8,114883,133,卢旺达饭店
8.8,133078,134,喜宴
8.5,403917,135,黑天鹅
8.9,120588,136,小森林 夏秋篇
8.5,296614,137,喜剧之王
8.8,125801,138,魂断蓝桥
8.6,179673,139,穿越时空的少女
8.5,241992,140,猜火车
8.7,143497,141,英雄本色
8.5,270838,142,恋恋笔记本
8.9,90283,143,雨中曲
8.4,289816,144,傲慢与偏见
8.7,124398,145,教父3
9.0,76002,146,完美的世界
8.7,137213,147,纵横四海
8.7,149036,148,萤火之森
8.7,186077,149,玩具总动员3
8.8,77828,150,二十二
8.7,164678,151,7号房的礼物
8.6,262549,152,哈利·波特与死亡圣器(下)
8.6,183171,153,人工智能
8.8,98214,154,我是山姆
8.5,235858,155,花样年华
8.7,126423,156,浪潮
8.4,265685,157,香水
8.4,259598,158,冰川时代
8.9,77858,159,追随
8.5,270073,160,朗读者
8.6,168671,161,撞车
8.7,123202,162,荒蛮故事
8.6,146791,163,海边的曼彻斯特
8.7,127056,164,一次别离
8.7,118219,165,罗生门
8.6,186746,166,时空恋旅人
8.6,149315,167,心迷宫
8.4,304295,168,唐伯虎点秋香
8.6,349636,169,超能陆战队
8.9,103694,170,小森林 冬春篇
8.5,168081,171,战争之王
8.7,107340,172,梦之安魂曲
8.6,123551,173,可可西里
8.5,282097,174,蝙蝠侠：黑暗骑士崛起
8.7,105333,175,碧海蓝天
8.8,79985,176,地球上的星星
8.3,280752,177,秒速5厘米
8.8,89049,178,未麻的部屋
8.3,302990,179,恐怖游轮
8.5,152299,180,谍影重重2
8.6,224358,181,爆裂鼓手
8.5,183790,182,谍影重重
8.6,160578,183,海盗电台
8.5,171248,184,阿飞正传
8.6,159713,185,达拉斯买家俱乐部
8.7,100637,186,牯岭街少年杀人事件
8.8,78126,187,惊魂记
8.4,184239,188,魔女宅急便
8.5,157330,189,再次出发之纽约遇见你
8.7,101552,190,绿里奇迹
9.1,50332,191,迁徙的鸟
8.5,248293,192,被解救的姜戈
9.2,47756,193,东京物语
8.5,136337,194,勇闯夺命岛
8.6,121792,195,荒野生存
8.7,99286,196,末路狂花
8.6,118990,197,卡萨布兰卡
8.4,208438,198,青蛇
8.5,134441,199,终结者2：审判日
9.0,53430,200,忠犬八公物语
8.6,104582,201,燕尾蝶
8.5,168665,202,这个男人来自地球
8.8,75170,203,哪吒闹海
8.4,204986,204,变脸
8.4,167900,205,英国病人
8.3,390833,206,源代码
8.5,145306,207,E.T. 外星人
8.4,173321,208,新龙门客栈
9.1,48630,209,黄金三镖客
8.4,178190,210,发条橙
8.5,146922,211,黑客帝国3：矩阵革命
8.6,104164,212,叫我第一名
8.4,176055,213,美国丽人
9.2,40695,214,城市之光
8.3,223517,215,穆赫兰道
8.6,110310,216,非常嫌疑犯
8.4,213111,217,无耻混蛋
8.3,435762,218,初恋这件小事
8.9,83733,219,勇士
8.6,91809,220,上帝也疯狂
8.5,239278,221,模仿游戏
8.3,263819,222,蓝色大门
9.0,45171,223,爱·回家
8.6,176233,224,无敌破坏王
8.7,84642,225,大卫·戈尔的一生
8.5,122941,226,血钻
8.8,107945,227,爱在午夜降临前
8.3,195373,228,曾经
8.3,321645,229,国王的演讲
8.5,121921,230,麦兜故事
8.6,93573,231,枪火
8.4,137776,232,暖暖内含光
8.2,293304,233,疯狂的石头
8.5,119089,234,遗愿清单
8.6,92131,235,蝴蝶
8.7,79415,236,千钧一发
8.6,101290,237,巴黎淘气帮
8.4,125263,238,荒岛余生
8.9,53907,239,与狼共舞
8.8,136809,240,房间
8.5,110851,241,偷拐抢骗
8.5,135831,242,月球
8.7,206248,243,头脑特工队
9.0,52281,244,我爱你
8.3,189164,245,夜访吸血鬼
8.8,77596,246,寿司之神
8.4,157760,247,彗星来的那一夜
8.6,93099,248,廊桥遗梦
8.3,212026,249,爱在暹罗
8.7,73156,250,中央车站
